List of packages in environment: "/home/wsluser/micromamba/envs/ai4orgchem"

  Name                       Version       Build                 Channel    
  feedparser                 6.0.14        pypi_0                pypi       
  feedparser-sgmllib         2.0.1         pypi_0                pypi       
  filelock                   3.32.3        pypi_0                pypi       
  flexcache                  0.3           pyhd8ed1ab_1          conda-forge
  flexparser                 0.4           pyhd8ed1ab_1          conda-forge
  font-ttf-dejavu-sans-mono  2.37          hab24e00_0            conda-forge
  font-ttf-inconsolata       3.000         h77eed37_0            conda-forge
  font-ttf-source-code-pro   2.038         h77eed37_0            conda-forge
  font-ttf-ubuntu            0.83          h77eed37_3            conda-forge
  fontconfig                 2.18.1        h27c8c51_0            conda-forge
  fonts-conda-ecosystem      1             0                     conda-forge
  fonts-conda-forge          1             hc364b38_1            conda-forge
  fonttools                  4.63.0        py312h8a5da7c_0       conda-forge
  freetype                   2.14.3        ha770c72_0            conda-forge
  freetype-py                2.3.0         pyhd8ed1ab_0          conda-forge
  fribidi                    1.0.16        hb03c661_0            conda-forge
  frozenlist                 1.8.0         pypi_0                pypi       
  fsspec                     2026.7.0      pypi_0                pypi       
  geometric                  1.1.1         pyhd8ed1ab_0          conda-forge
  git                        2.55.0        pl5321h5685339_1      conda-forge
  gitdb                      4.0.12        pypi_0                pypi       
  gmp                        6.3.0         hfd2156b_3            conda-forge
  graphite2                  1.3.15        hecca717_0            conda-forge
  greenlet                   3.5.3         py312h8285ef7_0       conda-forge
  h5py                       3.16.0        pypi_0                pypi       
  hydra-core                 1.3.5         pypi_0                pypi       
  icu                        78.3          h33c6efd_0            conda-forge
  idna                       3.19          pypi_0                pypi       
  joblib                     1.5.3         pypi_0                pypi       
  jonquil                    0.3.2         gfortran_h956d735_0   conda-forge
  jsonschema                 4.26.0        pyhcf101f3_0          conda-forge
  jsonschema-specifications  2025.9.1      pyhcf101f3_0          conda-forge
  julia                      1.12.6        h1382a85_0            conda-forge
  juliacall                  0.9.26        pypi_0                pypi       
  juliapkg                   0.1.26        pypi_0                pypi       
  keyutils                   1.6.3         hb9d3cd8_0            conda-forge
  kiwisolver                 1.5.0         py312h0a2e395_0       conda-forge
  krb5                       1.22.2        hbde042b_1            conda-forge
  lcms2                      2.19.1        h0c24ade_1            conda-forge
  ld_impl_linux-64           2.45.1        default_hbd61a6d_102  conda-forge
  lerc                       4.1.0         hdb68285_0            conda-forge
  libamd                     3.3.3         haaf9dc3_7100102      conda-forge
  libblas                    3.11.0        8_h4a7cf45_openblas   conda-forge
  libboost                   1.90.0        hd24cca6_1            conda-forge
  libboost-python            1.90.0        py312hf890105_1       conda-forge
  libbrotlicommon            1.2.0         hb03c661_1            conda-forge
  libbrotlidec               1.2.0         hb03c661_1            conda-forge
  libbrotlienc               1.2.0         hb03c661_1            conda-forge
  libbtf                     2.3.2         h32481e8_7100102      conda-forge
  libcamd                    3.3.3         h32481e8_7100102      conda-forge
  libcblas                   3.11.0        8_h0358290_openblas   conda-forge
  libccolamd                 3.3.4         h32481e8_7100102      conda-forge
  libcholmod                 5.3.1         h59ddab4_7100102      conda-forge
  libcolamd                  3.3.4         h32481e8_7100102      conda-forge
  libcurl                    8.21.0        heca4667_4            conda-forge
  libcxsparse                4.4.1         h32481e8_7100102      conda-forge
  libdeflate                 1.25          h17f619e_0            conda-forge
  libedit                    3.1.20250104  pl5321h7949ede_0      conda-forge
  libev                      4.33          h280c20c_3            conda-forge
  libexpat                   2.8.1         hecca717_1            conda-forge
  libffi                     3.5.2         h3435931_0            conda-forge
  libfreetype                2.14.3        ha770c72_0            conda-forge
  libfreetype6               2.14.3        h73754d4_0            conda-forge
  libgcc                     15.2.0        he0feb66_19           conda-forge
  libgcc-ng                  15.2.0        h69a702a_19           conda-forge
  libgfortran                15.2.0        h69a702a_19           conda-forge
  libgfortran5               15.2.0        h68bc16d_19           conda-forge
  libgit2                    1.9.6         hc20babb_0            conda-forge
  libglib                    2.88.2        h0d30a3d_0            conda-forge
  libgomp                    15.2.0        he0feb66_19           conda-forge
  libharfbuzz                14.2.1        h17a8019_1            conda-forge
  libiconv                   1.18          h3b78370_2            conda-forge
  libjpeg-turbo              3.2.0         hb03c661_0            conda-forge
  libklu                     2.3.5         hf24d653_7100102      conda-forge
  liblapack                  3.11.0        8_h47877c9_openblas   conda-forge
  libldl                     3.3.2         h32481e8_7100102      conda-forge
  liblzma                    5.8.3         hb03c661_0            conda-forge
  libnghttp2                 1.68.1        h877daf1_0            conda-forge
  libnsl                     2.0.1         hb9d3cd8_1            conda-forge
  libntlm                    1.8           hb9d3cd8_0            conda-forge
  libopenblas                0.3.33        pthreads_h94d23a6_0   conda-forge
  libopenblas-ilp64          0.3.34        pthreads_h3e26593_0   conda-forge
  libopenlibm4               0.8.1         hd590300_1            conda-forge
  libparu                    1.0.0         h17147ab_7100102      conda-forge
  libpng                     1.6.58        h421ea60_0            conda-forge
  libpq                      18.4          hd5a49e9_1            conda-forge
  libpsl                     0.23.1        hf670292_0            conda-forge
  libraqm                    0.10.5        h6406941_1            conda-forge
  librbio                    4.3.4         h32481e8_7100102      conda-forge
  librdkit                   2026.03.4     h72e46c9_0            conda-forge
  libspex                    3.2.3         had10066_7100102      conda-forge
  libspqr                    4.3.4         h852d39f_7100102      conda-forge
  libsqlite                  3.53.3        h0c1763c_0            conda-forge
  libssh2                    1.11.1        h6154650_1            conda-forge
  libstdcxx                  15.2.0        h934c35e_19           conda-forge
  libstdcxx-ng               15.2.0        hdf11a46_19           conda-forge
  libsuitesparseconfig       7.10.1        h92d6892_7100102      conda-forge
  libtiff                    4.7.2         h9d88235_0            conda-forge
  libumfpack                 6.3.5         heb53515_7100102      conda-forge
  libunwind                  1.6.2         h9c3ff4c_0            conda-forge
  libutf8proc                2.11.3        hfe17d71_0            conda-forge
  libuuid                    2.42.2        h5347b49_0            conda-forge
  libwebp-base               1.6.0         hd42ef1d_0            conda-forge
  libxcb                     1.17.0        h8a09558_0            conda-forge
  libxcrypt                  4.4.36        hd590300_1            conda-forge
  libzlib                    1.3.2         h25fd6f3_2            conda-forge
  lightning                  2.6.5         pypi_0                pypi       
  lightning-utilities        0.15.3        pypi_0                pypi       
  lmdb                       2.3.0         pypi_0                pypi       
  lxml                       6.1.1         pypi_0                pypi       
  mace-torch                 0.3.16        pypi_0                pypi       
  matplotlib                 3.11.1        pypi_0                pypi       
  matplotlib-base            3.11.0        py312hc1765e9_1       conda-forge
  matscipy                   1.2.0         pypi_0                pypi       
  mctc-lib                   0.5.2         gfortran_h956d735_0   conda-forge
  metis                      5.1.0         hd0bcaf9_1007         conda-forge
  mpfr                       4.2.2         he0a73b1_0            conda-forge
  mpmath                     1.3.0         pypi_0                pypi       
  multicharge                0.5.0         gfortran_ha02e54d_1   conda-forge
  multidict                  6.7.1         pypi_0                pypi       
  munkres                    1.1.4         pyhd8ed1ab_1          conda-forge
  narwhals                   2.24.0        pypi_0                pypi       
  ncurses                    6.6           hdb14827_0            conda-forge
  nequip                     0.19.0        pypi_0                pypi       
  networkx                   3.6.1         pyhcf101f3_0          conda-forge
  numpy                      2.5.1         py312h33ff503_0       conda-forge
  numsa                      0.2.0         gfortran_h956d735_2   conda-forge
  nvidia-cublas-cu12         12.6.4.1      pypi_0                pypi       
  nvidia-cuda-cupti-cu12     12.6.80       pypi_0                pypi       
  nvidia-cuda-nvrtc-cu12     12.6.77       pypi_0                pypi       
  nvidia-cuda-runtime-cu12   12.6.77       pypi_0                pypi       
  nvidia-cudnn-cu12          9.10.2.21     pypi_0                pypi       
  nvidia-cufft-cu12          11.3.0.4      pypi_0                pypi       
  nvidia-cufile-cu12         1.11.1.6      pypi_0                pypi       
  nvidia-curand-cu12         10.3.7.77     pypi_0                pypi       
  nvidia-cusolver-cu12       11.7.1.2      pypi_0                pypi       
  nvidia-cusparse-cu12       12.5.4.2      pypi_0                pypi       
  nvidia-cusparselt-cu12     0.7.1         pypi_0                pypi       
  nvidia-nccl-cu12           2.27.5        pypi_0                pypi       
  nvidia-nvjitlink-cu12      12.6.85       pypi_0                pypi       
  nvidia-nvshmem-cu12        3.4.5         pypi_0                pypi       
  nvidia-nvtx-cu12           12.6.77       pypi_0                pypi       
  omegaconf                  2.3.1         pypi_0                pypi       
  openblas-ilp64             0.3.34        pthreads_h3d04fff_0   conda-forge
  openjpeg                   2.5.4         h55fea9a_0            conda-forge
  openldap                   2.6.13        hbde042b_0            conda-forge
  openlibm                   0.8.1         hd590300_1            conda-forge
  openssl                    3.6.3         h35e630c_0            conda-forge
  opt-einsum-fx              0.1.4         pypi_0                pypi       
  opt_einsum                 3.4.0         pypi_0                pypi       
  orjson                     3.12.0        pypi_0                pypi       
  p7zip                      16.02         h9c3ff4c_1001         conda-forge
  packaging                  26.2          pyhc364b38_0          conda-forge
  pandas                     3.0.3         py312h8ecdadd_0       conda-forge
  pcre2                      10.47         haa7fec5_0            conda-forge
  periodictable              1.7.1         pyhd8ed1ab_0          conda-forge
  perl                       5.32.1        7_hd590300_perl5      conda-forge
  pillow                     12.3.0        py312h50c33e8_0       conda-forge
  pint                       0.25.3        pyhc364b38_0          conda-forge
  pip                        26.1.2        pyh8b19718_0          conda-forge
  pixman                     0.46.4        h54a6638_1            conda-forge
  platformdirs               4.10.0        pyhcf101f3_0          conda-forge
  prettytable                3.18.0        pypi_0                pypi       
  primp                      1.3.1         pypi_0                pypi       
  propcache                  0.5.2         pypi_0                pypi       
  psutil                     7.2.2         py312h5253ce2_0       conda-forge
  pthread-stubs              0.4           hb9d3cd8_1002         conda-forge
  py-cpuinfo                 9.0.0         pyhd8ed1ab_1          conda-forge
  pycairo                    1.29.0        py312h2596900_1       conda-forge
  pydantic                   2.13.4        pyhcf101f3_0          conda-forge
  pydantic-core              2.46.4        py312h868fb18_0       conda-forge
  pydantic-settings          2.14.2        pyhcf101f3_0          conda-forge
  pyparsing                  3.3.2         pyhcf101f3_0          conda-forge
  pyscf                      2.14.0        pypi_0                pypi       
  pysr                       1.5.10        pypi_0                pypi       
  python                     3.12.13       hd63d673_0_cpython    conda-forge
  python-dateutil            2.9.0.post0   pyhe01879c_2          conda-forge
  python-dotenv              1.2.2         pyhcf101f3_0          conda-forge
  python_abi                 3.12          8_cp312               conda-forge
  python_hostlist            2.3.0         pypi_0                pypi       
  pytorch-lightning          2.6.5         pypi_0                pypi       
  pyyaml                     6.0.3         py312h8a5da7c_1       conda-forge
  qcelemental                0.50.4        pyhd8ed1ab_0          conda-forge
  qcengine                   0.50.0        pyhd8ed1ab_0          conda-forge
  qhull                      2020.2        h434a139_5            conda-forge
  rdkit                      2026.03.4     py312hb6bdafc_0       conda-forge
  readline                   8.3           h853b02a_0            conda-forge
  referencing                0.37.0        pyhcf101f3_0          conda-forge
  regex                      2026.7.10     py312h4c3975b_0       conda-forge
  reportlab                  5.0.0         pyhc364b38_0          conda-forge
  requests                   2.34.2        pypi_0                pypi       
  rlpycairo                  0.4.0         pyh6c17108_0          conda-forge
  rpds-py                    2026.6.3      py312h192e038_0       conda-forge
  scikit-learn               1.9.0         pypi_0                pypi       
  scipy                      1.18.0        py312h54fa4ab_0       conda-forge
  semver                     3.0.4         pypi_0                pypi       
  setuptools                 83.0.0        pyh332efcf_0          conda-forge
  simple-dftd3               1.4.0         gfortran_h956d735_0   conda-forge
  six                        1.17.0        pyhe01879c_1          conda-forge
  smmap                      5.0.3         pypi_0                pypi       
  soupsieve                  2.9.1         pypi_0                pypi       
  sqlalchemy                 2.0.51        py312h5253ce2_0       conda-forge
  suitesparse                7.10.1        ha0f6916_7100102      conda-forge
  sympy                      1.14.0        pypi_0                pypi       
  tblite                     0.6.0         gfortran_ha02e54d_0   conda-forge
  threadpoolctl              3.6.0         pypi_0                pypi       
  tk                         8.6.13        noxft_h366c992_103    conda-forge
  toml-f                     0.5.2         gfortran_h956d735_0   conda-forge
  tomli                      2.4.1         pypi_0                pypi       
  tomlkit                    0.15.1        pypi_0                pypi       
  torch                      2.10.0+cu126  pypi_0                pypi       
  torch-ema                  0.3           pypi_0                pypi       
  torchmetrics               1.9.0         pypi_0                pypi       
  tqdm                       4.70.0        pypi_0                pypi       
  triton                     3.6.0         pypi_0                pypi       
  typing-extensions          4.16.0        h69aa097_0            conda-forge
  typing-inspection          0.4.2         pyhcf101f3_2          conda-forge
  typing_extensions          4.16.0        pyhcf101f3_0          conda-forge
  tzdata                     2025c         hc9c84f9_1            conda-forge
  unicodedata2               17.0.1        py312h4c3975b_0       conda-forge
  unidecode                  1.4.0         pyhcf101f3_1          conda-forge
  urllib3                    2.7.0         pypi_0                pypi       
  wcwidth                    0.8.2         pypi_0                pypi       
  wheel                      0.47.0        pyhd8ed1ab_0          conda-forge
  xorg-libice                1.1.2         hb9d3cd8_0            conda-forge
  xorg-libsm                 1.2.6         he73a12e_0            conda-forge
  xorg-libx11                1.8.13        he1eb515_0            conda-forge
  xorg-libxau                1.0.12        hb03c661_1            conda-forge
  xorg-libxdmcp              1.1.5         hb03c661_1            conda-forge
  xorg-libxext               1.3.7         hb03c661_0            conda-forge
  xorg-libxrender            0.9.12        hb9d3cd8_0            conda-forge
  xtb                        6.7.1         gfortran_ha02e54d_5   conda-forge
  yaml                       0.2.5         h280c20c_3            conda-forge
  yarl                       1.24.5        pypi_0                pypi       
  zlib                       1.3.2         h25fd6f3_2            conda-forge
  zlib-ng                    2.3.3         hceb46e0_1            conda-forge
  zstd                       1.5.7         hb78ec9c_6            conda-forge
